"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"1",2009,1,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"2",2009,1,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"3",2009,1,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"4",2009,1,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"5",2009,1,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"6",2009,1,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"7",2009,1,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"8",2009,1,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"9",2009,1,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"10",2009,1,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"11",2009,1,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"12",2009,1,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"13",2009,1,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"14",2009,1,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"15",2009,1,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"16",2009,1,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"17",2009,1,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"18",2009,1,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"19",2009,1,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"20",2009,1,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"21",2009,1,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"22",2009,1,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"23",2009,1,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"24",2009,1,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"25",2009,1,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"26",2009,1,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"27",2009,1,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"28",2009,1,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"29",2009,2,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"30",2009,2,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"31",2009,2,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"32",2009,2,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"33",2009,2,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"34",2009,2,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"35",2009,2,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"36",2009,2,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"37",2009,2,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"38",2009,2,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"39",2009,2,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"40",2009,2,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"41",2009,2,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"42",2009,2,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"43",2009,2,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"44",2009,2,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"45",2009,2,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"46",2009,2,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"47",2009,2,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"48",2009,2,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"49",2009,2,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"50",2009,2,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"51",2009,2,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"52",2009,2,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"53",2009,2,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"54",2009,2,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"55",2009,2,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"56",2009,2,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"57",2009,3,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"58",2009,3,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"59",2009,3,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"60",2009,3,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"61",2009,3,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"62",2009,3,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"63",2009,3,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"64",2009,3,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"65",2009,3,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"66",2009,3,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"67",2009,3,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"68",2009,3,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"69",2009,3,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"70",2009,3,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"71",2009,3,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"72",2009,3,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"73",2009,3,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"74",2009,3,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"75",2009,3,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"76",2009,3,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"77",2009,3,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"78",2009,3,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
