"","UF","status","n","year","week","min","max"
"2","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"3","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"4","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"5","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"6","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"7","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"8","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"9","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"10","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"11","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"12","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"13","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"14","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"15","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"16","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"17","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"18","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"19","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"20","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"21","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"22","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"23","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"24","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"25","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"26","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"27","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"28","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"29","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,1,"0","0"
"30","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"31","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"32","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"33","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"34","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"35","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"36","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"37","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"38","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"39","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"40","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"41","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"42","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"43","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"44","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"45","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"46","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"47","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"48","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"49","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
"50","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,2,"0","0"
